id;habitats;wildlife;keystone

-- seite 1
0;PPPFFF;EB;no
1;PPPFFF;FB;no
2;PPPFFF;FE;no
3;PPPFFF;SE;no
4;PPPFFF;SF;no
5;PPPFFF;EFS;no

6;WWWFFF;SB;no
7;WWWFFF;SE;no
8;WWWFFF;HE;no
9;WWWFFF;HF;no
10;WWWFFF;FB;no

11;FFFFFF;F;yes
12;FFFFFF;F;yes
13;FFFFFF;E;yes
14;FFFFFF;B;yes
15;FFFFFF;B;yes

16;WWWFFF;EHS;no

-- seite 2
17;WWWWWW;F;yes
18;WWWWWW;F;yes
19;WWWWWW;S;yes
20;WWWWWW;S;yes
21;WWWWWW;H;yes

22;WWWPPP;EFS;no
23;WWWPPP;HFS;no
24;WWWPPP;FE;no
25;WWWPPP;SE;no
26;WWWPPP;HF;no
27;WWWPPP;HS;no

28;PPPPPP;S;yes
29;PPPPPP;S;yes
30;PPPPPP;F;yes
31;PPPPPP;E;yes
32;PPPPPP;E;yes

33;WWWMMM;BHF;no

---seite 3
34;RRRRRR;S;yes
35;RRRRRR;H;yes
36;RRRRRR;H;yes
37;RRRRRR;B;yes
38;RRRRRR;B;yes

39;RRRWWW;BHS;no
40;RRRWWW;SF;no
41;RRRWWW;HF;no
42;RRRWWW;HS;no
43;RRRWWW;BS;no
44;RRRWWW;BH;no

45;MMMRRR;HS;no
46;MMMRRR;BS;no
47;MMMRRR;BH;no
48;MMMRRR;EH;no
49;MMMRRR;EB;no
50;MMMRRR;BHS;no

---seite 4
51;FFFMMM;EBH;no

52;PPPMMM;SE;no
53;PPPMMM;EBF;no
54;PPPMMM;BFS;no

55;RRRFFF;EFH;no

56;RRRPPP;BHF;no
57;RRRPPP;BFS;no

58;RRRFFF;SB;no
59;RRRFFF;SF;no
60;RRRFFF;HE;no
61;RRRFFF;BE;no
62;RRRFFF;BF;no

63;FFFMMM;EH;no

64;RRRPPP;SE;no
65;RRRPPP;HE;no
66;RRRPPP;HF;no
67;RRRPPP;BF;no

---seite 5
68;MMMMMM;H;yes
69;MMMMMM;H;yes
70;MMMMMM;B;yes
71;MMMMMM;E;yes
72;MMMMMM;E;yes

73;PPPMMM;EH;no
74;PPPMMM;FH;no

75;WWWMMM;SH;no
76;WWWMMM;SB;no
77;WWWMMM;FE;no
78;WWWMMM;HE;no

79;PPPMMM;SB;no

80;FFFMMM;BH;no

81;WWWMMM;EBS;no

82;FFFMMM;FB;no
83;FFFMMM;FE;no
84;FFFMMM;EBF;no
